SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
IFSP,Instituto Federal de São Paulo,Campus Guarulhos,2005,SP,Guarulhos,-23.4538,-46.5333
IFSP,Instituto Federal de São Paulo,Campus Bragança Paulista,2006,SP,Bragança Paulista,-22.9527,-46.5419
IFMA,Instituto Federal do Maranhão,Campus Buriticupu,2006,MA,Buriticupu,-4.32375,-46.4409
IFF,Instituto Federal Fluminense,Campus Campos Guarus,2006,RJ,Campos dos Goytacazes,-21.7622,-41.3181
IFRR,Instituto Federal de Roraima,Campus Novo Paraíso,2006,RR,Caracaraí,1.82766,-61.1304
IFSP,Instituto Federal de São Paulo,Campus Caraguatatuba,2006,SP,Caraguatatuba,-23.6125,-45.4125
IFES,Instituto Federal do Espírito Santo,Campus Cariacica,2006,ES,Cariacica,-20.2632,-40.4165
IFSC,Instituto Federal de Santa Catarina,Campus Chapecó,2006,SC,Chapecó,-27.1004,-52.6152
IFSul,Instituto Federal Sul-rio-grandense,Campus Charqueadas,2006,RS,Charqueadas,-29.9625,-51.6289
IFAM,Instituto Federal do Amazonas,Campus Coari,2006,AM,Coari,-4.09412,-63.1441
IFMG,Instituto Federal de Minas Gerais,Campus Congonhas,2006,MG,Congonhas,-20.4958,-43.851
IFMT,Instituto Federal de Mato Grosso,Campus Cuiabá Bela Vista,2006,MT,Cuiabá,-15.601,-56.0974
IFRN,Instituto Federal do Rio Grande do Norte,Campus Currais Novos,2006,RN,Currais Novos,-6.25484,-36.5146
IFSC,Instituto Federal de Santa Catarina,Campus Florianópolis Continente,2006,SC,Florianópolis,-27.5945,-48.5477
IFG,Instituto Federal de Goiás,Campus Inhumas,2006,GO,Inhumas,-16.3611,-49.5001
IFSC,Instituto Federal de Santa Catarina,Campus Joinville,2006,SC,Joinville,-26.3045,-48.8487
IFCE,Instituto Federal do Ceará,Campus Maracanaú,2006,CE,Maracanaú,-3.86699,-38.6259
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Nepomuceno,2006,MG,Nepomuceno,-21.2324,-45.235
CPII,Colégio Pedro II,Campus Niterói - CPII,2006,RJ,Niterói,-22.8832,-43.1034
IFTO,Instituto Federal do Tocantins,Campus Paraíso do Tocantins,2006,TO,Paraíso do Tocantins,-10.175,-48.8823
