UNIDADE_ORCAMENTARIA_CODIGO,UNIDADE_ORCAMENTARIA_NOME,ORGAO_UGE_CODIGO,ORGAO_UGE_NOME,ACAO_GOVERNO_CODIGO,ACAO_GOVERNO_NOME,SALDO_MOEDA_ORIGEM
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26430,"INST.FED.DE ED.,CIENC.E TEC.DO S.PERNAMBUCANO",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"240.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26431,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"904.654,58"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26432,INSTITUTO FEDERAL DO PARANA,21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"251.955,20"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26434,"INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"240.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26435,"INST.FED.DE EDUC.,CIENC.E TEC.DO RN",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"1.200.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26436,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"2.752.890,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26437,"INST.FED.DE EDUC.,CIENC.E TEC.DE RORAIMA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"403.514,50"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26438,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CATARINA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"188.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26439,"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"680.836,39"
26101,MINISTERIO DA EDUCACAO,26201,COLEGIO PEDRO II,15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"2.551.233,90"
26101,MINISTERIO DA EDUCACAO,26256,CENTRO FED.EDUC.TECN.CELSO SUCKOW DA FONSECA,15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"5.187.195,65"
26101,MINISTERIO DA EDUCACAO,26256,CENTRO FED.EDUC.TECN.CELSO SUCKOW DA FONSECA,219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"2.037.850,28"
26101,MINISTERIO DA EDUCACAO,26257,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MG,15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"6.562.227,68"
26101,MINISTERIO DA EDUCACAO,26402,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"2.905.901,80"
26101,MINISTERIO DA EDUCACAO,26402,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"383.845,96"
26101,MINISTERIO DA EDUCACAO,26403,"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"4.108.360,47"
26101,MINISTERIO DA EDUCACAO,26404,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"2.359.026,05"
26101,MINISTERIO DA EDUCACAO,26404,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"150.000,00"
26101,MINISTERIO DA EDUCACAO,26405,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"2.903.647,27"
26101,MINISTERIO DA EDUCACAO,26405,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA",21B3,"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E","1.435.800,80"
26101,MINISTERIO DA EDUCACAO,26406,"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"18.044.845,24"
26101,MINISTERIO DA EDUCACAO,26406,"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO",21B3,"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E","10.613.492,52"
26101,MINISTERIO DA EDUCACAO,26407,"INST.FED.DE EDUC.,CIENC.E TEC.GOIANO",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"5.515.444,04"
26101,MINISTERIO DA EDUCACAO,26407,"INST.FED.DE EDUC.,CIENC.E TEC.GOIANO",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"92.400,00"
26101,MINISTERIO DA EDUCACAO,26408,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"5.270.215,36"
26101,MINISTERIO DA EDUCACAO,26409,"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"6.279.418,48"
26101,MINISTERIO DA EDUCACAO,26410,"INST.FED.DE EDUC.,CIENC.E TEC.DO NORTE DE MG",15R4,APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA RE,"5.428.629,86"
26101,MINISTERIO DA EDUCACAO,26410,"INST.FED.DE EDUC.,CIENC.E TEC.DO NORTE DE MG",219U,APOIO AO FUNCIONAMENTO E MODERNIZACAO DAS INSTITUICOES DA RE,"681.810,00"
