SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO
IFCE,Instituto Federal do Ceará,Polo de Inovação Fortaleza,2015,CE,Fortaleza
IFPR,Instituto Federal do Paraná,Campus Avançado Goioerê,2015,PR,Goioerê
IFSP,Instituto Federal de São Paulo,Campus Avançado Ilha Solteira,2015,SP,Ilha Solteira
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Itabirito,2015,MG,Itabirito
IFSP,Instituto Federal de São Paulo,Campus Jacareí,2015,SP,Jacareí
IFPR,Instituto Federal do Paraná,Campus Jaguariaíva,2015,PR,Jaguariaíva
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Avançado Janaúba,2015,MG,Janaúba
IFBA,Instituto Federal da Bahia,Campus Juazeiro,2015,BA,Juazeiro
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Lajes,2015,RN,Lajes
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Manhuaçu,2015,MG,Manhuaçu
IFF,Instituto Federal Fluminense,Campus Avançado Maricá,2015,RJ,Maricá
IFAL,Instituto Federal de Alagoas,Campus Murici,2015,AL,Murici
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Parelhas,2015,RN,Parelhas
IFPR,Instituto Federal do Paraná,Campus Pinhais,2015,PR,Pinhais
IFPR,Instituto Federal do Paraná,Campus Pitanga,2015,PR,Pitanga
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Ponte Nova,2015,MG,Ponte Nova
IF Goiano,Instituto Federal Goiano,Campus Posse,2015,GO,Posse
IFPR,Instituto Federal do Paraná,Campus Avançado Quedas do Iguaçu,2015,PR,Quedas do Iguaçu
IFRS,Instituto Federal do Rio Grande do Sul,Campus Rolante,2015,RS,Rolante
IFBA,Instituto Federal da Bahia,Polo de Inovação Salvador,2015,BA,Salvador
IFAP,Instituto Federal do Amapá,Campus Santana,2015,AP,Santana
IFF,Instituto Federal Fluminense,Campus Santo Antônio de Pádua,2015,RJ,Santo Antônio de Pádua
